2021-10-31	⚪️⚪️🔵⚪️🔴🟦☠️	She needs help
2021-10-24	🔴☠️🔵🔴🔴🔵⚪️	Emotional terrorist
2021-10-17	🔵🔵🔵🔵🔴⚫️☠️	Pick your battles
2021-10-10	⚪️🔵🔵⚪️⚪️🔴🔴	The cost of freedom
2021-10-03	☠️☠️☠️🔵⚪️⬛️⚪️	🤯
2021-09-26	🔵🔵⚪️⚫️🔵⚪️🔴	God forbid anyone has different values 🙄
2021-09-20	🔴🔴⚪️⚫️☠️🔴🔴	Worst birthday ever
2021-09-12	🔵⚪️🟥🔵🔵🔵⚪️	🥺
2021-09-05	🔴🔵⚫️🔴☠️🔴🔵	😭😭😭
2021-08-29	⚪️⚪️⚪️⚪️⚪️⚪️🔵	I hope this lasts
2021-08-22	⚫️⚪️🔵⚪️⚪️⚪️🔵	
2021-08-15	🔴🔵⬛️🔵🔴🔴⚪️	😢 She’s hard work
2021-08-08	⚫️🔵⚪️⚪️⚫️🔴🔵	😭
2021-08-01	⚪️⚪️⚪️🔵🔵⚪️⚪️	Too good to be true
2021-07-25	🔵⚪️🔵⚪️⚪️⚪️⚫️	🥺
2021-07-18	☠️⚫️⚫️⚪️🔵⚪️🟥	It never ends
2021-07-12	⚫️🔴⚪️⚪️⚪️⚪️☠️	😔
2021-07-04	🔴🔴⚪️⚪️🔵🔵🔵	I fucked up
2021-06-27	⚪️⚫️⚪️⚫️🔴🔵🔵	
2021-06-20	⚫️🔴🔵⚪️🔵⚪️⬜️	Sigh
2021-06-13	☠️⚫️🔵🔵🔵🔵🔴	😢
2021-06-06	🔵🔵🔵⚫️🔴⚪️☠️	Why is she so fucking angry 🥺
2021-05-30	⚪️⚪️🔴⚫️☠️🔴🔵	Nothing changes 😢
2021-05-23	🔵🔵🔵🔵🔵⚫️🟥	Moving 😓
2021-05-16	⚫️🔵⚫️☠️🔵☠️⚪️	Now we have a house
2021-05-09	🔵⚪️☠️☠️⚫️⚫️🔴	😰🤢😢
2021-05-02	🔵🟦🔴⚫️⚫️⚪️🔵	😔
2021-04-25	🔵⚫️🔴🔵⚪️🔴☠️	😔
2021-04-18	⚪️⚪️☠️🔵🔴⚫️🔴	🥺
2021-04-11	⚪️⚪️⚫️🔵🔴☠️⚪️	A house? WTF is wrong with you!?
2021-04-04	⚪️⬜️⚪️⚫️⚫️🔴⚪️	Up and down
2021-03-28	⚫️☠️⚪️🔴⚪️🔴⚪️	😢
2021-03-21	☠️☠️☠️⚪️⚪️⚪️☠️	😭
2021-03-14	☠️⚪️⚪️⚪️🔵⚪️⚪️	:(
2021-03-07	🔵⚪️⬛️🔴⚪️🔵⚪️	DKWTD
2021-02-28	🔴⚪️⚫️🔵⚫️⚪️🔵	I can’t take this
2021-02-21	🔵🔵🔵🔵🔴🔴⚫️	Fuck her
2021-02-14	⚫️🔴🔴🔵🔵🔵🔵	Fuck this
2021-02-07	🔴🔵⚪️⚪️⬜️🔵☠️	No vaccine
2021-01-31	🔵🔵🔴🔵⚪️⚪️⚫️	Yep :(
2021-01-24	🔴⚪️⚪️🔵🔴⚪️⚪️	Inflection point?
2021-01-17	🔵⚪️⚪️⚪️⚪️⚪️🔵	Nothing lasts
2021-01-10	🔴⚫️🔵🔴🔴🔴⬜️	Shit like this
2021-01-03	⚪️⚪️⚪️⚪️⚪️🔵⚪️	
2020-12-27	🔵⚪️🔴🔵⚫️🔵🔴	
2020-12-20	🔵⚪️⚪️🔴🔵🔵⚫️	
2020-12-13	⚪️⚪️🔵⚪️🔵⚪️⚪️	
2020-12-06	🔵⚪️⚪️⚪️⚪️⚪️🔵	
2020-11-29	🔴🔵☠️⚫️⚪️⚪️⚪️	
2020-11-22	🔴🔴⚪️⚪️⚫️⚪️🔵	
